ID_Vendita,Data_Vendita,Prodotto,Categoria,Città,Quantità,Prezzo_Unitario,Totale_Vendite
1,2025-04-13,Tablet,Networking,Palermo,48,1628.62,78173.76
2,2025-12-15,Laptop,Accessori,Napoli,26,702.71,18270.46
3,2025-09-28,Tastiera,Accessori,Genova,12,407.39,4888.68
4,2025-04-17,Smartphone,Periferiche,Palermo,11,1597.13,17568.43
5,2025-03-13,Router,Periferiche,Napoli,37,1506.27,55731.99
6,2025-07-08,Webcam,Networking,Firenze,25,464.8,11620.0
7,2025-01-21,Stampante,Accessori,Genova,18,1768.75,31837.5
8,2025-04-13,Mouse,Accessori,Verona,19,1148.83,21827.769999999997
9,2025-05-02,Webcam,Accessori,Bologna,23,1676.05,38549.15
10,2025-08-03,Smartphone,Accessori,Venezia,38,2096.67,79673.46
11,2025-11-27,Router,Accessori,Torino,18,440.93,7936.74
12,2025-03-29,Smartphone,Elettronica,Venezia,26,67.48,1754.48
13,2025-04-10,Monitor,Periferiche,Genova,6,1952.17,11713.02
14,2025-12-26,Laptop,Elettronica,Verona,4,1532.05,6128.2
15,2025-06-01,Stampante,Accessori,Bologna,44,1755.11,77224.84
16,2025-05-11,Hard Disk,Networking,Verona,29,2098.62,60859.979999999996
17,2025-05-30,Laptop,Networking,Palermo,34,2010.97,68372.98
18,2025-11-05,Hard Disk,Accessori,Bologna,17,2403.08,40852.36
19,2025-09-15,Router,Accessori,Palermo,43,1349.12,58012.159999999996
20,2025-12-10,Tastiera,Networking,Napoli,43,1231.47,52953.21
21,2025-10-21,Mouse,Elettronica,Genova,16,1016.68,16266.88
22,2025-07-11,Tablet,Elettronica,Napoli,2,401.15,802.3
23,2025-10-04,Laptop,Accessori,Roma,34,1440.07,48962.38
24,2025-06-10,Stampante,Elettronica,Verona,8,706.99,5655.92
25,2025-11-10,Smartphone,Networking,Palermo,13,2304.84,29962.920000000002
26,2025-01-22,Stampante,Elettronica,Firenze,42,1466.31,61585.02
27,2025-09-10,Router,Accessori,Napoli,8,1490.24,11921.92
28,2025-08-24,Hard Disk,Networking,Roma,30,900.21,27006.300000000003
29,2025-12-11,Smartphone,Elettronica,Milano,32,148.93,4765.76
30,2025-02-18,Tablet,Periferiche,Venezia,36,98.72,3553.92
31,2025-02-28,Tablet,Networking,Bologna,47,1069.87,50283.88999999999
32,2025-06-19,Laptop,Networking,Roma,30,229.72,6891.6
33,2025-07-07,Router,Periferiche,Genova,1,1524.98,1524.98
34,2025-09-28,Tastiera,Periferiche,Napoli,43,2204.81,94806.83
35,2025-07-09,Router,Networking,Genova,39,2209.63,86175.57
36,2025-06-24,Hard Disk,Periferiche,Venezia,17,1654.43,28125.31
37,2025-02-20,Stampante,Accessori,Firenze,20,543.85,10877.0
38,2025-12-30,Tablet,Accessori,Verona,24,2160.23,51845.520000000004
39,2025-02-24,Stampante,Accessori,Verona,22,2217.51,48785.22
40,2025-09-01,Stampante,Networking,Genova,29,507.7,14723.3
41,2025-11-16,Stampante,Periferiche,Palermo,22,1848.82,40674.04
42,2025-05-11,Tablet,Periferiche,Firenze,44,730.57,32145.08
43,2025-11-03,Webcam,Elettronica,Verona,9,2010.55,18094.95
44,2025-05-15,Monitor,Elettronica,Firenze,37,2493.15,92246.55
45,2025-01-21,Hard Disk,Periferiche,Roma,10,94.46,944.5999999999999
46,2025-11-25,Webcam,Periferiche,Firenze,36,2245.47,80836.92
47,2025-06-16,Hard Disk,Periferiche,Torino,37,1564.12,57872.439999999995
48,2025-10-01,Smartphone,Networking,Venezia,28,2433.99,68151.72
49,2025-03-30,Router,Periferiche,Verona,28,1173.22,32850.16
50,2025-11-12,Router,Elettronica,Firenze,42,2121.52,89103.84
51,2025-01-14,Mouse,Networking,Genova,43,174.74,7513.820000000001
52,2025-08-30,Router,Periferiche,Milano,21,851.49,17881.29
53,2025-09-22,Tablet,Elettronica,Torino,24,186.2,4468.799999999999
54,2025-12-12,Tastiera,Networking,Torino,42,2438.85,102431.7
55,2025-02-22,Laptop,Periferiche,Palermo,40,2046.1,81844.0
56,2025-12-06,Mouse,Periferiche,Firenze,2,2134.32,4268.64
57,2025-04-02,Laptop,Periferiche,Palermo,8,2346.15,18769.2
58,2025-09-21,Hard Disk,Networking,Palermo,48,231.06,11090.880000000001
59,2025-02-04,Laptop,Elettronica,Milano,27,976.28,26359.559999999998
60,2025-07-25,Laptop,Elettronica,Roma,22,196.17,4315.74
61,2025-03-22,Mouse,Accessori,Firenze,37,542.77,20082.489999999998
